Monthly Mean Global Surface Temperature
Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1897.71,-0.10,-0.08,0.10,-0.12
1897.79,-0.19,-0.12,-0.01,-0.15
1897.88,0.05,-0.18,-0.13,-0.19
1897.96,-0.23,-0.20,-0.51,-0.12
1898.04,-0.09,-0.02,0.37,-0.11
1898.13,-0.48,-0.30,-0.62,-0.13
1898.21,-0.77,-0.51,-1.47,-0.21
1898.29,-0.51,-0.31,-0.44,-0.24
1898.38,-0.64,-0.30,-0.43,-0.22
1898.46,-0.27,-0.19,0.04,-0.23
1898.54,-0.27,-0.22,-0.14,-0.25
1898.63,-0.23,-0.26,-0.14,-0.31
1898.71,0.02,-0.21,-0.03,-0.28
1898.79,-0.42,-0.34,-0.47,-0.28
1898.88,-0.41,-0.38,-0.57,-0.27
1898.96,-0.13,-0.23,-0.04,-0.24
1899.04,-0.28,-0.16,0.13,-0.20
1899.13,-0.59,-0.38,-0.74,-0.21
1899.21,-0.37,-0.36,-0.60,-0.23
1899.29,-0.15,-0.20,0.05,-0.23
1899.38,-0.36,-0.23,-0.14,-0.21
1899.46,-0.47,-0.31,-0.44,-0.22
1899.54,-0.22,-0.16,-0.06,-0.18
1899.63,-0.27,-0.08,0.03,-0.09
1899.71,0.00,-0.04,0.13,-0.10
1899.79,-0.16,-0.03,0.26,-0.12
1899.88,0.03,0.13,0.76,-0.07
1899.96,-0.17,-0.26,-0.71,-0.08
1900.04,-0.41,-0.35,-0.97,-0.09
1900.13,0.00,-0.05,-0.06,-0.04
1900.21,-0.10,0.01,0.18,-0.04
1900.29,-0.02,-0.08,-0.04,-0.06
1900.38,-0.09,-0.08,0.17,-0.12
1900.46,-0.02,-0.09,0.12,-0.11
1900.54,-0.26,-0.12,-0.03,-0.13
1900.63,-0.02,-0.08,0.16,-0.14
1900.71,0.03,-0.05,0.03,-0.06
1900.79,0.24,0.10,0.45,-0.00
1900.88,0.00,-0.06,-0.13,-0.03
1900.96,-0.06,-0.06,0.07,-0.06
1901.04,-0.21,-0.22,-0.52,-0.06
1901.13,-0.24,-0.11,-0.15,-0.06
1901.21,-0.14,0.06,0.46,-0.08
1901.29,-0.03,-0.03,0.20,-0.09
1901.38,-0.11,-0.15,-0.06,-0.15
1901.46,0.09,-0.12,0.15,-0.19
1901.54,-0.16,-0.14,0.16,-0.24
1901.63,-0.15,-0.20,-0.00,-0.25
1901.71,0.04,-0.22,-0.10,-0.29
1901.79,-0.06,-0.29,-0.38,-0.31
1901.88,-0.12,-0.16,-0.02,-0.19
1901.96,-0.20,-0.27,-0.46,-0.23
1902.04,-0.18,-0.15,0.19,-0.23
1902.13,-0.06,-0.09,0.44,-0.24
1902.21,-0.14,-0.27,-0.20,-0.24
1902.29,-0.12,-0.27,-0.34,-0.22
1902.38,-0.21,-0.33,-0.33,-0.28
1902.46,-0.22,-0.32,-0.15,-0.35
1902.54,-0.37,-0.27,-0.13,-0.34
1902.63,-0.40,-0.30,-0.18,-0.33
1902.71,-0.35,-0.28,-0.23,-0.30
1902.79,-0.36,-0.29,-0.43,-0.22
1902.88,-0.34,-0.36,-0.66,-0.20
1902.96,-0.44,-0.41,-0.85,-0.19
1903.04,-0.30,-0.24,-0.08,-0.22
1903.13,-0.09,-0.05,0.56,-0.27
1903.21,-0.09,-0.23,-0.09,-0.34
1903.29,-0.47,-0.41,-0.38,-0.36
1903.38,-0.30,-0.39,-0.23,-0.42
1903.46,-0.51,-0.42,-0.37,-0.39
1903.54,-0.24,-0.34,-0.15,-0.44
1903.63,-0.31,-0.45,-0.32,-0.53
1903.71,-0.37,-0.49,-0.35,-0.55
1903.79,-0.35,-0.46,-0.41,-0.49
1903.88,-0.38,-0.41,-0.34,-0.47
1903.96,-0.53,-0.50,-0.74,-0.44
1904.04,-0.68,-0.62,-0.89,-0.50
1904.13,-0.72,-0.58,-0.72,-0.52
1904.21,-0.52,-0.50,-0.53,-0.56
1904.29,-0.36,-0.50,-0.53,-0.52
1904.38,-0.52,-0.52,-0.26,-0.58
1904.46,-0.43,-0.48,-0.33,-0.54
1904.54,-0.53,-0.51,-0.43,-0.57
1904.63,-0.47,-0.49,-0.31,-0.57
1904.71,-0.52,-0.56,-0.61,-0.55
1904.79,-0.49,-0.39,-0.34,-0.41
1904.88,-0.16,-0.17,0.43,-0.37
1904.96,-0.37,-0.33,-0.09,-0.40
1905.04,-0.38,-0.35,-0.19,-0.39
1905.13,-0.89,-0.59,-1.28,-0.32
1905.21,-0.25,-0.21,-0.35,-0.24
1905.29,-0.25,-0.33,-0.41,-0.30
1905.38,-0.27,-0.29,-0.15,-0.34
1905.46,-0.33,-0.28,-0.13,-0.28
1905.54,-0.35,-0.26,-0.07,-0.29
1905.63,-0.23,-0.20,-0.07,-0.26
1905.71,-0.21,-0.19,0.01,-0.27
1905.79,-0.35,-0.25,-0.20,-0.25
1905.88,-0.04,-0.07,0.43,-0.23
1905.96,-0.18,-0.13,-0.03,-0.15
1906.04,-0.13,-0.28,-0.44,-0.16
1906.13,-0.33,-0.29,-0.68,-0.13
1906.21,-0.36,-0.18,-0.23,-0.17
1906.29,0.04,-0.05,0.36,-0.20
1906.38,-0.25,-0.26,0.05,-0.37
1906.46,-0.17,-0.19,0.12,-0.28
1906.54,-0.10,-0.23,-0.07,-0.29
1906.63,-0.11,-0.20,0.08,-0.31
1906.71,-0.25,-0.28,-0.14,-0.34
1906.79,-0.12,-0.20,-0.03,-0.30
1906.88,-0.49,-0.37,-0.54,-0.29
1906.96,-0.16,-0.14,0.25,-0.30
1907.04,-0.48,-0.43,-0.77,-0.29
1907.13,-0.60,-0.51,-0.94,-0.32
1907.21,-0.40,-0.27,-0.44,-0.23
1907.29,-0.51,-0.37,-0.73,-0.23
1907.38,-0.63,-0.46,-0.81,-0.33
1907.46,-0.60,-0.42,-0.58,-0.32
1907.54,-0.36,-0.35,-0.35,-0.35
1907.63,-0.49,-0.34,-0.26,-0.35
1907.71,-0.33,-0.34,-0.23,-0.41
1907.79,-0.20,-0.23,-0.04,-0.34
1907.88,-0.48,-0.46,-0.71,-0.36
1907.96,-0.54,-0.47,-0.67,-0.37
1908.04,-0.38,-0.44,-0.43,-0.41
1908.13,-0.36,-0.32,-0.33,-0.38
1908.21,-0.52,-0.55,-0.89,-0.42
1908.29,-0.43,-0.44,-0.41,-0.43
1908.38,-0.23,-0.37,-0.11,-0.49
1908.46,-0.34,-0.38,-0.08,-0.51
1908.54,-0.30,-0.35,0.00,-0.51
1908.63,-0.39,-0.46,-0.43,-0.51
1908.71,-0.11,-0.35,0.03,-0.54
1908.79,-0.34,-0.44,-0.38,-0.52
1908.88,-0.57,-0.52,-0.61,-0.47
1908.96,-0.38,-0.49,-0.52,-0.49
1909.04,-0.79,-0.72,-1.26,-0.47
1909.13,-0.53,-0.46,-0.39,-0.47
1909.21,-0.53,-0.54,-0.68,-0.46
1909.29,-0.54,-0.59,-0.75,-0.51
1909.38,-0.55,-0.54,-0.53,-0.51
1909.46,-0.32,-0.52,-0.39,-0.55
1909.54,-0.30,-0.45,-0.20,-0.57
1909.63,-0.11,-0.34,-0.01,-0.51
1909.71,-0.23,-0.38,-0.13,-0.51
1909.79,-0.22,-0.40,-0.19,-0.51
1909.88,-0.16,-0.32,0.37,-0.57
1909.96,-0.52,-0.56,-0.64,-0.53
1910.04,-0.35,-0.42,-0.23,-0.48
1910.13,-0.25,-0.41,-0.26,-0.50
1910.21,-0.43,-0.50,-0.40,-0.56
1910.29,-0.33,-0.42,-0.20,-0.48
1910.38,-0.23,-0.34,-0.23,-0.40
1910.46,-0.33,-0.38,-0.26,-0.43
1910.54,-0.21,-0.34,0.01,-0.50
1910.63,-0.14,-0.37,-0.06,-0.51
1910.71,-0.10,-0.39,-0.24,-0.48
1910.79,-0.31,-0.41,-0.28,-0.49
1910.88,-0.52,-0.57,-0.77,-0.50
1910.96,-0.64,-0.67,-0.99,-0.52
1911.04,-0.62,-0.62,-0.85,-0.49
1911.13,-0.66,-0.58,-0.75,-0.52
1911.21,-0.61,-0.61,-0.85,-0.52
1911.29,-0.48,-0.54,-0.41,-0.55
1911.38,-0.38,-0.52,-0.33,-0.59
1911.46,-0.45,-0.50,-0.33,-0.56
1911.54,-0.23,-0.42,-0.13,-0.59
1911.63,-0.31,-0.44,-0.34,-0.53
1911.71,-0.30,-0.41,-0.39,-0.45
1911.79,-0.23,-0.26,-0.18,-0.35
1911.88,-0.17,-0.22,-0.11,-0.27
1911.96,-0.25,-0.22,-0.32,-0.20
1912.04,-0.23,-0.26,-0.33,-0.24
1912.13,-0.16,-0.16,-0.01,-0.19
1912.21,-0.52,-0.39,-0.97,-0.16
1912.29,-0.32,-0.18,-0.15,-0.16
1912.38,-0.23,-0.21,0.00,-0.26
1912.46,-0.21,-0.24,-0.01,-0.30
1912.54,-0.48,-0.42,-0.53,-0.35
1912.63,-0.59,-0.55,-0.85,-0.41
1912.71,-0.47,-0.57,-0.86,-0.48
1912.79,-0.49,-0.58,-1.02,-0.41
1912.88,-0.46,-0.40,-0.43,-0.39
1912.96,-0.35,-0.43,-0.54,-0.39
1913.04,-0.40,-0.40,-0.42,-0.33
